Activity	Game
Activity	Sales
Activity	Sport
Actor	AdultActor
Actor	VoiceActor
AdministrativeRegion	ClericalAdministrativeRegion
AdministrativeRegion	GovernmentalAdministrativeRegion
Agent	Deity
Agent	Employer
Agent	Family
Agent	Organisation
Agent	Person
Aircraft	MilitaryAircraft
AmusementParkAttraction	RollerCoaster
AmusementParkAttraction	WaterRide
AnatomicalStructure	Artery
AnatomicalStructure	Bone
AnatomicalStructure	Brain
AnatomicalStructure	Embryology
AnatomicalStructure	Ligament
AnatomicalStructure	Lymph
AnatomicalStructure	Muscle
AnatomicalStructure	Nerve
AnatomicalStructure	Vein
Animal	Amphibian
Animal	Arachnid
Animal	Bird
Animal	Crustacean
Animal	Fish
Animal	Insect
Animal	Mammal
Animal	Mollusca
Animal	Reptile
Annotation	Reference
ArchitecturalStructure	AmusementParkAttraction
ArchitecturalStructure	Arena
ArchitecturalStructure	Building
ArchitecturalStructure	Gate
ArchitecturalStructure	Infrastructure
ArchitecturalStructure	MilitaryStructure
ArchitecturalStructure	Mill
ArchitecturalStructure	Pyramid
ArchitecturalStructure	Shrine
ArchitecturalStructure	SportFacility
ArchitecturalStructure	Square
ArchitecturalStructure	Tower
ArchitecturalStructure	Tunnel
ArchitecturalStructure	Venue
ArchitecturalStructure	Zoo
Artist	Actor
Artist	Comedian
Artist	ComicsCreator
Artist	Dancer
Artist	FashionDesigner
Artist	Humorist
Artist	MusicalArtist
Artist	Painter
Artist	Photographer
Artist	Sculptor
Artwork	Painting
Artwork	Sculpture
Athlete	ArcherPlayer
Athlete	AthleticsPlayer
Athlete	AustralianRulesFootballPlayer
Athlete	BadmintonPlayer
Athlete	BaseballPlayer
Athlete	BasketballPlayer
Athlete	Bodybuilder
Athlete	Boxer
Athlete	BullFighter
Athlete	Canoeist
Athlete	ChessPlayer
Athlete	Cricketer
Athlete	Cyclist
Athlete	DartsPlayer
Athlete	Fencer
Athlete	GaelicGamesPlayer
Athlete	GolfPlayer
Athlete	GridironFootballPlayer
Athlete	Gymnast
Athlete	HandballPlayer
Athlete	HighDiver
Athlete	HorseRider
Athlete	Jockey
Athlete	LacrossePlayer
Athlete	MartialArtist
Athlete	MotorsportRacer
Athlete	NationalCollegiateAthleticAssociationAthlete
Athlete	NetballPlayer
Athlete	PokerPlayer
Athlete	Rower
Athlete	RugbyPlayer
Athlete	SnookerPlayer
Athlete	SoccerPlayer
Athlete	SquashPlayer
Athlete	Surfer
Athlete	Swimmer
Athlete	TableTennisPlayer
Athlete	TeamMember
Athlete	TennisPlayer
Athlete	VolleyballPlayer
Athlete	WaterPoloPlayer
Athlete	WinterSportPlayer
Athlete	Wrestler
Award	Decoration
Award	NobelPrize
Beverage	Beer
Beverage	Vodka
Beverage	Wine
Biomolecule	Enzyme
Biomolecule	Gene
Biomolecule	Lipid
Biomolecule	Polysaccharide
Biomolecule	Protein
BodyOfWater	Bay
BodyOfWater	Lake
BodyOfWater	Ocean
BodyOfWater	Sea
BodyOfWater	Stream
Book	Novel
Boxer	AmateurBoxer
Boxing	BoxingCategory
Boxing	BoxingStyle
BritishRoyalty	Baronet
Broadcaster	BroadcastNetwork
Broadcaster	RadioStation
Broadcaster	TelevisionStation
Building	Casino
Building	Castle
Building	Factory
Building	HistoricBuilding
Building	Hospital
Building	Hotel
Building	Library
Building	Museum
Building	Prison
Building	ReligiousBuilding
Building	Restaurant
Building	ShoppingMall
Building	Skyscraper
Camera	DigitalCamera
Cartoon	Anime
Cartoon	HollywoodCartoon
Case	LegalCase
CelestialBody	Asteroid
CelestialBody	Constellation
CelestialBody	Galaxy
CelestialBody	Planet
CelestialBody	Satellite
CelestialBody	Star
CelestialBody	Swarm
ChemicalSubstance	ChemicalCompound
ChemicalSubstance	ChemicalElement
ChemicalSubstance	Drug
ChemicalSubstance	Mineral
City	Capital
City	CapitalOfRegion
Cleric	Cardinal
Cleric	ChristianBishop
Cleric	ChristianPatriarch
Cleric	Pope
Cleric	Priest
Cleric	Saint
Cleric	Vicar
ClericalAdministrativeRegion	Deanery
ClericalAdministrativeRegion	Diocese
ClericalAdministrativeRegion	Parish
Coach	AmericanFootballCoach
Coach	CollegeCoach
Coach	VolleyballCoach
CollectionOfValuables	Archive
Comic	ComicStrip
Comic	Manga
Comic	Manhua
Comic	Manhwa
ComicsCharacter	AnimangaCharacter
Company	Airline
Company	Bank
Company	Brewery
Company	BusCompany
Company	Caterer
Company	LawFirm
Company	Publisher
Company	RecordLabel
Company	Winery
Company	Logistics
Company	Post
Competition	Contest
Country	HistoricalCountry
Crater	LunarCrater
Criminal	Murderer
Database	BiologicalDatabase
Device	Camera
Device	Engine
Device	InformationAppliance
Device	Instrument
Device	MobilePhone
Device	Weapon
Document	File
Document	Image
Document	Sound
EducationalInstitution	College
EducationalInstitution	Library
EducationalInstitution	School
EducationalInstitution	University
Engine	AutomobileEngine
Engine	RocketEngine
Eukaryote	Animal
Eukaryote	Fungus
Eukaryote	Plant
Event	Competition
Event	LifeCycleEvent
Event	NaturalEvent
Event	SocietalEvent
Family	NobleFamily
FictionalCharacter	ComicsCharacter
FictionalCharacter	DisneyCharacter
FictionalCharacter	MythologicalFigure
FictionalCharacter	NarutoCharacter
FictionalCharacter	SoapCharacter
FloweringPlant	Grape
Food	Beverage
Food	Cheese
FootballLeagueSeason	NationalFootballLeagueSeason
Game	BoardGame
Game	CardGame
Gene	HumanGene
Gene	MouseGene
GeneLocation	HumanGeneLocation
GeneLocation	MouseGeneLocation
Genre	ArtisticGenre
Genre	LiteraryGenre
Genre	MovieGenre
Genre	MusicGenre
